         311450535 function calls (311430752 primitive calls) in 153.302 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      342    0.001    0.000    0.003    0.000 functools.py:33(update_wrapper)
      273    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        4    0.001    0.000    0.001    0.000 {built-in method posix.replace}
      286    0.001    0.000    0.006    0.000 overrides.py:72(verify_matching_signatures)
    273/2    0.001    0.000    0.330    0.165 <frozen importlib._bootstrap>:650(_load_unlocked)
     2956    0.001    0.000    0.002    0.000 Interfaces.py:93(_clean)
       26    0.001    0.000    0.046    0.002 CodonTable.py:473(register_ncbi_table)
      615    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
    228/2    0.001    0.000    0.330    0.165 <frozen importlib._bootstrap_external>:777(exec_module)
      563    0.001    0.000    0.011    0.000 {built-in method builtins.sorted}
    288/1    0.001    0.000    0.331    0.331 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      316    0.001    0.000    0.034    0.000 overrides.py:166(decorator)
        2    0.001    0.001    0.006    0.003 __init__.py:311(_consensus_base_alphabet)
     3364    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      640    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        2    0.001    0.001    0.032    0.016 __init__.py:471(extend)
     2880    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2554    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
       18    0.001    0.000    0.271    0.015 __init__.py:1(<module>)
      616    0.001    0.000    0.004    0.000 _inspect.py:98(getargspec)
     1529    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       12    0.001    0.000    0.002    0.000 __init__.py:313(namedtuple)
      269    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     2299    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     7884    0.001    0.000    0.001    0.000 {method 'issuperset' of 'set' objects}
     2628    0.001    0.000    0.001    0.000 CodonTable.py:288(<setcomp>)
      335    0.001    0.000    0.002    0.000 enum.py:64(__setitem__)
     2628    0.001    0.000    0.001    0.000 CodonTable.py:284(<setcomp>)
   203/62    0.001    0.000    0.016    0.000 sre_parse.py:435(_parse_sub)
     2628    0.001    0.000    0.001    0.000 CodonTable.py:292(<setcomp>)
   370/11    0.001    0.000    0.286    0.026 {built-in method builtins.__import__}
      224    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
       13    0.001    0.000    0.001    0.000 mixins.py:48(_numeric_methods)
     5319    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
   347/27    0.001    0.000    0.285    0.011 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1184    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      228    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      185    0.001    0.000    0.029    0.000 re.py:287(_compile)
     2193    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.001    0.001  152.960  152.960 clipkit.py:35(execute)
        4    0.001    0.000    0.001    0.000 {built-in method posix.open}
      412    0.001    0.000    0.001    0.000 enum.py:368(__setattr__)
      405    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
  273/272    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
     1888    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     2135    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      273    0.001    0.000    0.004    0.000 function_base.py:460(add_newdoc)
      680    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       78    0.001    0.000    0.001    0.000 CodonTable.py:151(make_back_table)
      269    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      613    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      269    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
       21    0.001    0.000    0.001    0.000 enum.py:171(<setcomp>)
      497    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:376(cached)
      460    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        2    0.000    0.000    0.744    0.372 __init__.py:255(_SeqIO_to_alignment_iterator)
     1441    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
       13    0.000    0.000    0.002    0.000 enum.py:451(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
      291    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      286    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      359    0.000    0.000    0.001    0.000 sre_parse.py:355(_escape)
     1451    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      286    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      327    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      228    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
     1121    0.000    0.000    0.001    0.000 sre_parse.py:172(append)
     1739    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       62    0.000    0.000    0.028    0.000 sre_compile.py:759(compile)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1482(_guarded_repr_or_str)
        4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:120(_write_atomic)
      659    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      817    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       43    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      288    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1739    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      525    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      838    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
       62    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
        2    0.000    0.000    0.008    0.004 function_base.py:1(<module>)
      616    0.000    0.000    0.001    0.000 _inspect.py:15(ismethod)
      278    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      336    0.000    0.000    0.000    0.000 functools.py:63(wraps)
      533    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      838    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      338    0.000    0.000    0.001    0.000 typing.py:759(__setattr__)
      228    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      370    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       78    0.000    0.000    0.043    0.001 CodonTable.py:204(__init__)
      228    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
    419/3    0.000    0.000    0.326    0.109 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      517    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
     1246    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      382    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      228    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      576    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     1478    0.000    0.000    0.000    0.000 Seq.py:149(__str__)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
       62    0.000    0.000    0.017    0.000 sre_parse.py:937(parse)
      799    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      288    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       30    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
        1    0.000    0.000    0.003    0.003 tokenize.py:1(<module>)
      335    0.000    0.000    0.000    0.000 enum.py:20(_is_dunder)
      324    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
    76/59    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      616    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
      273    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
       47    0.000    0.000    0.001    0.000 typing.py:656(__init__)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       52    0.000    0.000    0.000    0.000 core.py:900(__init__)
      681    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 threading.py:750(Thread)
      335    0.000    0.000    0.000    0.000 enum.py:28(_is_sunder)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        6    0.000    0.000    0.001    0.000 File.py:57(as_handle)
      143    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        4    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
       35    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       16    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      328    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      273    0.000    0.000    0.001    0.000 function_base.py:446(_add_docstring)
       62    0.000    0.000    0.000    0.000 enum.py:828(__and__)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
      209    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      940    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      276    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      126    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.022    0.022 index_tricks.py:1(<module>)
    41/40    0.000    0.000    0.029    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
       30    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
      338    0.000    0.000    0.000    0.000 typing.py:643(_is_dunder)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.013    0.013 __init__.py:17(<module>)
      228    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      141    0.000    0.000    0.004    0.000 enum.py:278(__call__)
      743    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       13    0.000    0.000    0.004    0.000 enum.py:381(_create_)
      278    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      177    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      278    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.005    0.005 defchararray.py:1(<module>)
      282    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      143    0.000    0.000    0.000    0.000 {built-in method fromkeys}
