         391581 function calls (387975 primitive calls) in 0.218 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       78    0.000    0.000    0.034    0.000 CodonTable.py:204(__init__)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      591    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
    132/2    0.000    0.000    0.131    0.066 <frozen importlib._bootstrap_external>:722(exec_module)
      670    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      967    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      733    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      369    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       46    0.000    0.000    0.022    0.000 sre_compile.py:759(compile)
     1242    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      715    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
  156/155    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       46    0.000    0.000    0.000    0.000 enum.py:836(__and__)
      287    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
     1531    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      154    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       46    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      402    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      154    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      233    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      286    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
      366    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       46    0.000    0.000    0.014    0.000 sre_parse.py:913(parse)
      396    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      176    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.087    0.087 clipkit.py:103(main)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      270    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      127    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
      161    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
      470    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       13    0.000    0.000    0.004    0.000 enum.py:389(_create_)
      470    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       12    0.000    0.000    0.000    0.000 FastaIO.py:359(as_fasta)
      821    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      821    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.037    0.037 CodonTable.py:14(<module>)
      161    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       61    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       26    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
      270    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      156    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
    63/45    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      109    0.000    0.000    0.005    0.000 enum.py:284(__call__)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      365    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
    234/2    0.000    0.000    0.131    0.066 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      119    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      363    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      396    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      132    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      127    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      342    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      332    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        3    0.000    0.000    0.000    0.000 IUPACData.py:189(_make_ambiguous_ranges)
      624    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       46    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      231    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
     54/3    0.000    0.000    0.128    0.043 {built-in method builtins.__import__}
      364    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       46    0.000    0.000    0.008    0.000 sre_compile.py:598(_code)
       74    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        2    0.000    0.000    0.053    0.026 __init__.py:41(<module>)
       13    0.000    0.000    0.006    0.000 enum.py:633(_convert)
      324    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 QualityIO.py:551(<dictcomp>)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      242    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        6    0.000    0.000    0.000    0.000 File.py:57(as_handle)
      167    0.000    0.000    0.000    0.000 QualityIO.py:476(phred_quality_from_solexa)
      619    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.031    0.031 __init__.py:338(<module>)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       45    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
       96    0.000    0.000    0.000    0.000 enum.py:526(__new__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      383    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      134    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       13    0.000    0.000    0.000    0.000 FastaIO.py:27(SimpleFastaParser)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       71    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 Interfaces.py:98(SequenceWriter)
       46    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      156    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       78    0.000    0.000    0.001    0.000 CodonTable.py:172(__init__)
      433    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      231    0.000    0.000    0.000    0.000 {built-in method math.log}
      201    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
      243    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      810    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.004    0.004 ssl.py:91(<module>)
       26    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       63    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       16    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.037    0.037 request.py:68(<module>)
       78    0.000    0.000    0.000    0.000 CodonTable.py:63(__init__)
      290    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
    22/21    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
       20    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
      119    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       45    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
      152    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       10    0.000    0.000    0.000    0.000 argparse.py:1328(add_argument)
       24    0.000    0.000    0.000    0.000 SeqRecord.py:159(__init__)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 QualityIO.py:752(<dictcomp>)
        1    0.000    0.000    0.000    0.000 datetime.py:454(timedelta)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
       33    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       47    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       13    0.000    0.000    0.000    0.000 FastaIO.py:138(FastaIterator)
       22    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 minidom.py:991(CharacterData)
        1    0.000    0.000    0.000    0.000 __init__.py:919(PairwiseAlignment)
        1    0.000    0.000    0.001    0.001 quoprimime.py:27(<module>)
        1    0.000    0.000    0.000    0.000 SCOPData.py:12(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       92    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      219    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       63    0.000    0.000    0.000    0.000 QualityIO.py:382(solexa_quality_from_phred)
        1    0.000    0.000    0.000    0.000 QualityIO.py:677(<dictcomp>)
       24    0.000    0.000    0.000    0.000 __init__.py:581(_append)
        1    0.000    0.000    0.023    0.023 client.py:69(<module>)
        1    0.000    0.000    0.096    0.096 __init__.py:128(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fdc242bdb90}
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
        5    0.000    0.000    0.000    0.000 argparse.py:1247(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:427(_check_type_compatible)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:511(write)
        1    0.000    0.000    0.006    0.006 shutil.py:5(<module>)
        1    0.000    0.000    0.000    0.000 SeqFeature.py:1576(ExactPosition)
       46    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       12    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      133    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.003    0.003 threading.py:1(<module>)
       46    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
        1    0.000    0.000    0.001    0.001 dbapi2.py:23(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      164    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.005    0.005 ElementTree.py:34(<module>)
        1    0.000    0.000    0.001    0.001 minidom.py:16(<module>)
       58    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       22    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       10    0.000    0.000    0.000    0.000 argparse.py:1465(_get_optional_kwargs)
        1    0.000    0.000    0.000    0.000 AbiIO.py:16(<module>)
        2    0.000    0.000    0.000    0.000 gettext.py:474(find)
        1    0.000    0.000    0.005    0.005 platform.py:10(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:23(<module>)
        1    0.000    0.000    0.002    0.002 Nexus.py:13(<module>)
        1    0.000    0.000    0.000    0.000 IUPACData.py:7(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
       14    0.000    0.000    0.000    0.000 minicompat.py:101(defproperty)
        1    0.000    0.000    0.039    0.039 Seq.py:21(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
       18    0.000    0.000    0.000    0.000 abc.py:125(__new__)
        1    0.000    0.000    0.001    0.001 QualityIO.py:361(<module>)
       28    0.000    0.000    0.000    0.000 SeqRecord.py:73(__init__)
        1    0.000    0.000    0.001    0.001 hashlib.py:54(<module>)
       12    0.000    0.000    0.000    0.000 Interfaces.py:81(_get_seq_string)
       12    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.085    0.085 clipkit.py:20(execute)
       54    0.000    0.000    0.023    0.000 re.py:232(compile)
       16    0.000    0.000    0.000    0.000 enum.py:64(__init__)
        1    0.000    0.000    0.000    0.000 QualityIO.py:547(<dictcomp>)
        1    0.000    0.000    0.010    0.010 utils.py:5(<module>)
